Date,Sector,Value,Region,Short_Code
1979,Health care and social assistance ,72100,Western,AB
1979,"Information, culture and recreation ",36200,Western,AB
1979,Manufacturing,87600,Western,AB
1979,Other services (except public administration),42000,Western,AB
1979,"Professional, scientific and technical services",36900,Western,AB
1979,Public administration,59000,Western,AB
1979,Transportation and warehousing,65700,Western,AB
1979,Utilities,9600,Western,AB
1979,Wholesale and retail trade,168100,Western,AB
1980,Accommodation and food services,65200,Western,AB
1980,Agriculture,77800,Western,AB
1980,"Business, building and other support services",23900,Western,AB
1980,Construction,117700,Western,AB
1980,Educational services,59600,Western,AB
1980,"Finance, insurance, real estate, rental and leasing",63600,Western,AB
1980,"Forestry, fishing, mining, quarrying, oil and gas",72900,Western,AB
1980,Health care and social assistance ,78900,Western,AB
1980,"Information, culture and recreation ",35500,Western,AB
1980,Manufacturing,99300,Western,AB
1980,Other services (except public administration),46500,Western,AB
1980,"Professional, scientific and technical services",43700,Western,AB
1980,Public administration,64800,Western,AB
1980,Transportation and warehousing,69300,Western,AB
1980,Utilities,10200,Western,AB
1980,Wholesale and retail trade,173600,Western,AB
1981,Accommodation and food services,69400,Western,AB
1981,Agriculture,78400,Western,AB
1981,"Business, building and other support services",25400,Western,AB
1981,Construction,126500,Western,AB
1981,Educational services,59700,Western,AB
1981,"Finance, insurance, real estate, rental and leasing",65000,Western,AB
1981,"Forestry, fishing, mining, quarrying, oil and gas",86000,Western,AB
1981,Health care and social assistance ,84100,Western,AB
1981,"Information, culture and recreation ",40000,Western,AB
1981,Manufacturing,108000,Western,AB
1981,Other services (except public administration),51900,Western,AB
1981,"Professional, scientific and technical services",53500,Western,AB
1981,Public administration,67900,Western,AB
1981,Transportation and warehousing,71100,Western,AB
1981,Utilities,11300,Western,AB
1981,Wholesale and retail trade,184500,Western,AB
1982,Accommodation and food services,67300,Western,AB
1982,Agriculture,75700,Western,AB
1982,"Business, building and other support services",23000,Western,AB
1982,Construction,118500,Western,AB
1982,Educational services,65000,Western,AB
1982,"Finance, insurance, real estate, rental and leasing",71100,Western,AB
1982,"Forestry, fishing, mining, quarrying, oil and gas",83200,Western,AB
1982,Health care and social assistance ,86700,Western,AB
1982,"Information, culture and recreation ",44500,Western,AB
1982,Manufacturing,93500,Western,AB
1982,Other services (except public administration),50800,Western,AB
1982,"Professional, scientific and technical services",52100,Western,AB
1982,Public administration,75800,Western,AB
1982,Transportation and warehousing,64000,Western,AB
1982,Utilities,10500,Western,AB
1982,Wholesale and retail trade,182700,Western,AB
1983,Accommodation and food services,64000,Western,AB
1983,Agriculture,71900,Western,AB
1983,"Business, building and other support services",25600,Western,AB
1983,Construction,104200,Western,AB
1983,Educational services,71200,Western,AB
1983,"Finance, insurance, real estate, rental and leasing",70500,Western,AB
1983,"Forestry, fishing, mining, quarrying, oil and gas",79800,Western,AB
1983,Health care and social assistance ,94000,Western,AB
1983,"Information, culture and recreation ",44900,Western,AB
1983,Manufacturing,84000,Western,AB
1983,Other services (except public administration),51600,Western,AB
1983,"Professional, scientific and technical services",43800,Western,AB
1983,Public administration,76500,Western,AB
1983,Transportation and warehousing,63800,Western,AB
1983,Utilities,8300,Western,AB
1983,Wholesale and retail trade,179600,Western,AB
1984,Accommodation and food services,67100,Western,AB
1984,Agriculture,77900,Western,AB
1984,"Business, building and other support services",26000,Western,AB
1984,Construction,75300,Western,AB
1984,Educational services,70300,Western,AB
1984,"Finance, insurance, real estate, rental and leasing",68200,Western,AB
1984,"Forestry, fishing, mining, quarrying, oil and gas",78000,Western,AB
1984,Health care and social assistance ,98900,Western,AB
1984,"Information, culture and recreation ",45000,Western,AB
1984,Manufacturing,83200,Western,AB
1984,Other services (except public administration),51800,Western,AB
1984,"Professional, scientific and technical services",50100,Western,AB
1984,Public administration,78900,Western,AB
1984,Transportation and warehousing,69100,Western,AB
1984,Utilities,10200,Western,AB
1984,Wholesale and retail trade,188300,Western,AB
1985,Accommodation and food services,64500,Western,AB
1985,Agriculture,83700,Western,AB
1985,"Business, building and other support services",28000,Western,AB
1985,Construction,74300,Western,AB
1985,Educational services,71200,Western,AB
1985,"Finance, insurance, real estate, rental and leasing",66000,Western,AB
1985,"Forestry, fishing, mining, quarrying, oil and gas",85700,Western,AB
1985,Health care and social assistance ,102600,Western,AB
1985,"Information, culture and recreation ",45300,Western,AB
1985,Manufacturing,88000,Western,AB
1985,Other services (except public administration),59600,Western,AB
1985,"Professional, scientific and technical services",50700,Western,AB
1985,Public administration,82900,Western,AB
1985,Transportation and warehousing,68000,Western,AB
1985,Utilities,10300,Western,AB
1985,Wholesale and retail trade,193100,Western,AB
1986,Accommodation and food services,64300,Western,AB
1986,Agriculture,84900,Western,AB
1986,"Business, building and other support services",29500,Western,AB
1986,Construction,71400,Western,AB
1986,Educational services,78700,Western,AB
1986,"Finance, insurance, real estate, rental and leasing",63900,Western,AB
1986,"Forestry, fishing, mining, quarrying, oil and gas",76000,Western,AB
1986,Health care and social assistance ,101700,Western,AB
1986,"Information, culture and recreation ",47400,Western,AB
1986,Manufacturing,87300,Western,AB
1986,Other services (except public administration),64300,Western,AB
1986,"Professional, scientific and technical services",50900,Western,AB
1986,Public administration,87100,Western,AB
1986,Transportation and warehousing,66200,Western,AB
1986,Utilities,11500,Western,AB
1986,Wholesale and retail trade,199600,Western,AB
1987,Accommodation and food services,67100,Western,AB
1987,Agriculture,85900,Western,AB
1987,"Business, building and other support services",28200,Western,AB
1987,Construction,68800,Western,AB
1987,Educational services,83500,Western,AB
1987,"Finance, insurance, real estate, rental and leasing",64100,Western,AB
1987,"Forestry, fishing, mining, quarrying, oil and gas",72800,Western,AB
1987,Health care and social assistance ,106400,Western,AB
1987,"Information, culture and recreation ",49600,Western,AB
1987,Manufacturing,92100,Western,AB
1987,Other services (except public administration),60800,Western,AB
1987,"Professional, scientific and technical services",55500,Western,AB
1987,Public administration,81300,Western,AB
1987,Transportation and warehousing,66000,Western,AB
1987,Utilities,13200,Western,AB
1987,Wholesale and retail trade,192200,Western,AB
1988,Accommodation and food services,65900,Western,AB
1988,Agriculture,88300,Western,AB
1988,"Business, building and other support services",28600,Western,AB
1988,Construction,77400,Western,AB
1988,Educational services,85500,Western,AB
1988,"Finance, insurance, real estate, rental and leasing",65500,Western,AB
1988,"Forestry, fishing, mining, quarrying, oil and gas",76500,Western,AB
1988,Health care and social assistance ,108400,Western,AB
1988,"Information, culture and recreation ",51400,Western,AB
1988,Manufacturing,98400,Western,AB
1988,Other services (except public administration),59000,Western,AB
1988,"Professional, scientific and technical services",57100,Western,AB
1988,Public administration,84100,Western,AB
1988,Transportation and warehousing,64900,Western,AB
1988,Utilities,13500,Western,AB
1988,Wholesale and retail trade,197800,Western,AB
1989,Accommodation and food services,66400,Western,AB
1989,Agriculture,90000,Western,AB
1989,"Business, building and other support services",32100,Western,AB
1989,Construction,81100,Western,AB
1989,Educational services,88100,Western,AB
1989,"Finance, insurance, real estate, rental and leasing",69600,Western,AB
1989,"Forestry, fishing, mining, quarrying, oil and gas",73200,Western,AB
1989,Health care and social assistance ,115500,Western,AB
1989,"Information, culture and recreation ",51300,Western,AB
1989,Manufacturing,97900,Western,AB
1989,Other services (except public administration),57700,Western,AB
1989,"Professional, scientific and technical services",58700,Western,AB
1989,Public administration,86600,Western,AB
1989,Transportation and warehousing,67800,Western,AB
1989,Utilities,12000,Western,AB
1989,Wholesale and retail trade,203300,Western,AB
1990,Accommodation and food services,74500,Western,AB
1990,Agriculture,92600,Western,AB
1990,"Business, building and other support services",33900,Western,AB
1990,Construction,83900,Western,AB
1990,Educational services,92000,Western,AB
1990,"Finance, insurance, real estate, rental and leasing",74300,Western,AB
1990,"Forestry, fishing, mining, quarrying, oil and gas",75400,Western,AB
1990,Health care and social assistance ,116900,Western,AB
1990,"Information, culture and recreation ",48600,Western,AB
1990,Manufacturing,96300,Western,AB
1990,Other services (except public administration),59800,Western,AB
1990,"Professional, scientific and technical services",58400,Western,AB
1990,Public administration,83900,Western,AB
1990,Transportation and warehousing,67100,Western,AB
1990,Utilities,13500,Western,AB
1990,Wholesale and retail trade,205800,Western,AB
1991,Accommodation and food services,76600,Western,AB
1991,Agriculture,95500,Western,AB
1991,"Business, building and other support services",33600,Western,AB
1991,Construction,81700,Western,AB
1991,Educational services,93500,Western,AB
1991,"Finance, insurance, real estate, rental and leasing",76700,Western,AB
1991,"Forestry, fishing, mining, quarrying, oil and gas",77000,Western,AB
1991,Health care and social assistance ,119100,Western,AB
1991,"Information, culture and recreation ",46700,Western,AB
1991,Manufacturing,90900,Western,AB
1991,Other services (except public administration),62600,Western,AB
1991,"Professional, scientific and technical services",60200,Western,AB
1991,Public administration,86600,Western,AB
1991,Transportation and warehousing,61100,Western,AB
1991,Utilities,13900,Western,AB
1991,Wholesale and retail trade,208800,Western,AB
1992,Accommodation and food services,80200,Western,AB
1992,Agriculture,94800,Western,AB
1992,"Business, building and other support services",35400,Western,AB
1992,Construction,81700,Western,AB
1992,Educational services,88600,Western,AB
1992,"Finance, insurance, real estate, rental and leasing",76000,Western,AB
1992,"Forestry, fishing, mining, quarrying, oil and gas",74600,Western,AB
1992,Health care and social assistance ,120300,Western,AB
1992,"Information, culture and recreation ",52100,Western,AB
1992,Manufacturing,90900,Western,AB
1992,Other services (except public administration),62100,Western,AB
1992,"Professional, scientific and technical services",61500,Western,AB
1992,Public administration,86100,Western,AB
1992,Transportation and warehousing,60000,Western,AB
1992,Utilities,14400,Western,AB
1992,Wholesale and retail trade,201300,Western,AB
1993,Accommodation and food services,81900,Western,AB
1993,Agriculture,92000,Western,AB
1993,"Business, building and other support services",36000,Western,AB
1993,Construction,81200,Western,AB
1993,Educational services,92400,Western,AB
1993,"Finance, insurance, real estate, rental and leasing",74100,Western,AB
1993,"Forestry, fishing, mining, quarrying, oil and gas",78900,Western,AB
1993,Health care and social assistance ,125200,Western,AB
1993,"Information, culture and recreation ",50900,Western,AB
1993,Manufacturing,93100,Western,AB
1993,Other services (except public administration),63900,Western,AB
1993,"Professional, scientific and technical services",66200,Western,AB
1993,Public administration,79100,Western,AB
1993,Transportation and warehousing,61800,Western,AB
1993,Utilities,14900,Western,AB
1993,Wholesale and retail trade,197200,Western,AB
1994,Accommodation and food services,87700,Western,AB
1994,Agriculture,89200,Western,AB
1994,"Business, building and other support services",36400,Western,AB
1994,Construction,86700,Western,AB
1994,Educational services,88500,Western,AB
1994,"Finance, insurance, real estate, rental and leasing",73700,Western,AB
1994,"Forestry, fishing, mining, quarrying, oil and gas",79100,Western,AB
1994,Health care and social assistance ,124100,Western,AB
1994,"Information, culture and recreation ",55300,Western,AB
1994,Manufacturing,99900,Western,AB
1994,Other services (except public administration),68400,Western,AB
1994,"Professional, scientific and technical services",69900,Western,AB
1994,Public administration,75600,Western,AB
1994,Transportation and warehousing,68400,Western,AB
1994,Utilities,13000,Western,AB
1994,Wholesale and retail trade,208900,Western,AB
1995,Accommodation and food services,90300,Western,AB
1995,Agriculture,90800,Western,AB
1995,"Business, building and other support services",43000,Western,AB
1995,Construction,93400,Western,AB
1995,Educational services,90500,Western,AB
1995,"Finance, insurance, real estate, rental and leasing",75500,Western,AB
1995,"Forestry, fishing, mining, quarrying, oil and gas",80700,Western,AB
1995,Health care and social assistance ,126800,Western,AB
1995,"Information, culture and recreation ",61300,Western,AB
1995,Manufacturing,106400,Western,AB
1995,Other services (except public administration),68800,Western,AB
1995,"Professional, scientific and technical services",68900,Western,AB
1995,Public administration,71300,Western,AB
1995,Transportation and warehousing,71300,Western,AB
1995,Utilities,12600,Western,AB
1995,Wholesale and retail trade,213400,Western,AB
1996,Accommodation and food services,93200,Western,AB
1996,Agriculture,92500,Western,AB
1996,"Business, building and other support services",46200,Western,AB
1996,Construction,98000,Western,AB
1996,Educational services,92100,Western,AB
1996,"Finance, insurance, real estate, rental and leasing",73400,Western,AB
1996,"Forestry, fishing, mining, quarrying, oil and gas",84600,Western,AB
1996,Health care and social assistance ,133100,Western,AB
1996,"Information, culture and recreation ",60900,Western,AB
1996,Manufacturing,106800,Western,AB
1996,Other services (except public administration),68400,Western,AB
1996,"Professional, scientific and technical services",76300,Western,AB
1996,Public administration,72800,Western,AB
1996,Transportation and warehousing,79200,Western,AB
1996,Utilities,12400,Western,AB
1996,Wholesale and retail trade,215700,Western,AB
1997,Accommodation and food services,100800,Western,AB
1997,Agriculture,88900,Western,AB
1997,"Business, building and other support services",47100,Western,AB
1997,Construction,97300,Western,AB
1997,Educational services,94300,Western,AB
1997,"Finance, insurance, real estate, rental and leasing",76600,Western,AB
1997,"Forestry, fishing, mining, quarrying, oil and gas",90100,Western,AB
1997,Health care and social assistance ,138700,Western,AB
1997,"Information, culture and recreation ",61000,Western,AB
1997,Manufacturing,118200,Western,AB
1997,Other services (except public administration),74100,Western,AB
1997,"Professional, scientific and technical services",85400,Western,AB
1997,Public administration,73000,Western,AB
1997,Transportation and warehousing,83700,Western,AB
1997,Utilities,10200,Western,AB
1997,Wholesale and retail trade,213700,Western,AB
1998,Accommodation and food services,105600,Western,AB
1998,Agriculture,90000,Western,AB
1998,"Business, building and other support services",49900,Western,AB
1998,Construction,104500,Western,AB
1998,Educational services,94900,Western,AB
1998,"Finance, insurance, real estate, rental and leasing",76100,Western,AB
1998,"Forestry, fishing, mining, quarrying, oil and gas",87900,Western,AB
1998,Health care and social assistance ,144800,Western,AB
1998,"Information, culture and recreation ",70300,Western,AB
1998,Manufacturing,125400,Western,AB
1998,Other services (except public administration),77200,Western,AB
1998,"Professional, scientific and technical services",93000,Western,AB
1998,Public administration,71200,Western,AB
1998,Transportation and warehousing,85500,Western,AB
1998,Utilities,9100,Western,AB
1998,Wholesale and retail trade,223400,Western,AB
1999,Accommodation and food services,103400,Western,AB
1999,Agriculture,81800,Western,AB
1999,"Business, building and other support services",56600,Western,AB
1999,Construction,115700,Western,AB
1999,Educational services,104500,Western,AB
1999,"Finance, insurance, real estate, rental and leasing",81500,Western,AB
1999,"Forestry, fishing, mining, quarrying, oil and gas",77300,Western,AB
1999,Health care and social assistance ,142900,Western,AB
1999,"Information, culture and recreation ",63600,Western,AB
1999,Manufacturing,134700,Western,AB
1999,Other services (except public administration),74400,Western,AB
1999,"Professional, scientific and technical services",102100,Western,AB
1999,Public administration,64900,Western,AB
1999,Transportation and warehousing,90600,Western,AB
1999,Utilities,9900,Western,AB
1999,Wholesale and retail trade,239200,Western,AB
2000,Accommodation and food services,111300,Western,AB
2000,Agriculture,70600,Western,AB
2000,"Business, building and other support services",52800,Western,AB
2000,Construction,125700,Western,AB
2000,Educational services,100800,Western,AB
2000,"Finance, insurance, real estate, rental and leasing",80200,Western,AB
2000,"Forestry, fishing, mining, quarrying, oil and gas",81900,Western,AB
2000,Health care and social assistance ,150000,Western,AB
2000,"Information, culture and recreation ",63800,Western,AB
2000,Manufacturing,137600,Western,AB
2000,Other services (except public administration),75100,Western,AB
2000,"Professional, scientific and technical services",110100,Western,AB
2000,Public administration,62600,Western,AB
2000,Transportation and warehousing,97500,Western,AB
2000,Utilities,12700,Western,AB
2000,Wholesale and retail trade,250700,Western,AB
2001,Accommodation and food services,111100,Western,AB
2001,Agriculture,59500,Western,AB
2001,"Business, building and other support services",47300,Western,AB
2001,Construction,130500,Western,AB
2001,Educational services,108900,Western,AB
2001,"Finance, insurance, real estate, rental and leasing",82800,Western,AB
2001,"Forestry, fishing, mining, quarrying, oil and gas",98800,Western,AB
2001,Health care and social assistance ,148700,Western,AB
2001,"Information, culture and recreation ",66300,Western,AB
2001,Manufacturing,139200,Western,AB
2001,Other services (except public administration),77200,Western,AB
2001,"Professional, scientific and technical services",124700,Western,AB
2001,Public administration,64200,Western,AB
2001,Transportation and warehousing,98800,Western,AB
2001,Utilities,13300,Western,AB
2001,Wholesale and retail trade,255900,Western,AB
2002,Accommodation and food services,119400,Western,AB
2002,Agriculture,60400,Western,AB
2002,"Business, building and other support services",54700,Western,AB
2002,Construction,139800,Western,AB
2002,Educational services,109400,Western,AB
2002,"Finance, insurance, real estate, rental and leasing",83400,Western,AB
2002,"Forestry, fishing, mining, quarrying, oil and gas",95900,Western,AB
2002,Health care and social assistance ,155500,Western,AB
2002,"Information, culture and recreation ",69600,Western,AB
2002,Manufacturing,147600,Western,AB
2002,Other services (except public administration),80400,Western,AB
2002,"Professional, scientific and technical services",124300,Western,AB
2002,Public administration,65800,Western,AB
2002,Transportation and warehousing,99500,Western,AB
2002,Utilities,17100,Western,AB
2002,Wholesale and retail trade,251100,Western,AB
2003,Accommodation and food services,124000,Western,AB
2003,Agriculture,65300,Western,AB
2003,"Business, building and other support services",62800,Western,AB
2003,Construction,144700,Western,AB
2003,Educational services,110200,Western,AB
2003,"Finance, insurance, real estate, rental and leasing",86500,Western,AB
2003,"Forestry, fishing, mining, quarrying, oil and gas",101200,Western,AB
2003,Health care and social assistance ,158400,Western,AB
2003,"Information, culture and recreation ",74100,Western,AB
2003,Manufacturing,147100,Western,AB
2003,Other services (except public administration),83000,Western,AB
2003,"Professional, scientific and technical services",119800,Western,AB
2003,Public administration,73100,Western,AB
2003,Transportation and warehousing,100500,Western,AB
2003,Utilities,14000,Western,AB
2003,Wholesale and retail trade,264300,Western,AB
2004,Accommodation and food services,124700,Western,AB
2004,Agriculture,65200,Western,AB
2004,"Business, building and other support services",64800,Western,AB
2004,Construction,161100,Western,AB
2004,Educational services,109600,Western,AB
2004,"Finance, insurance, real estate, rental and leasing",92500,Western,AB
2004,"Forestry, fishing, mining, quarrying, oil and gas",111200,Western,AB
2004,Health care and social assistance ,165800,Western,AB
2004,"Information, culture and recreation ",72600,Western,AB
2004,Manufacturing,146600,Western,AB
2004,Other services (except public administration),81900,Western,AB
2004,"Professional, scientific and technical services",122400,Western,AB
2004,Public administration,71400,Western,AB
2004,Transportation and warehousing,100000,Western,AB
2004,Utilities,13800,Western,AB
2004,Wholesale and retail trade,271200,Western,AB
2005,Accommodation and food services,109400,Western,AB
2005,Agriculture,55900,Western,AB
2005,"Business, building and other support services",63600,Western,AB
2005,Construction,163200,Western,AB
2005,Educational services,122300,Western,AB
2005,"Finance, insurance, real estate, rental and leasing",97000,Western,AB
2005,"Forestry, fishing, mining, quarrying, oil and gas",130000,Western,AB
2005,Health care and social assistance ,174100,Western,AB
2005,"Information, culture and recreation ",73500,Western,AB
2005,Manufacturing,134400,Western,AB
2005,Other services (except public administration),83800,Western,AB
2005,"Professional, scientific and technical services",135700,Western,AB
2005,Public administration,70200,Western,AB
2005,Transportation and warehousing,108600,Western,AB
2005,Utilities,13800,Western,AB
2005,Wholesale and retail trade,284800,Western,AB
2006,Accommodation and food services,117300,Western,AB
2006,Agriculture,52400,Western,AB
2006,"Business, building and other support services",63200,Western,AB
2006,Construction,176600,Western,AB
2006,Educational services,132100,Western,AB
2006,"Finance, insurance, real estate, rental and leasing",99500,Western,AB
2006,"Forestry, fishing, mining, quarrying, oil and gas",144700,Western,AB
2006,Health care and social assistance ,181500,Western,AB
2006,"Information, culture and recreation ",69800,Western,AB
2006,Manufacturing,140900,Western,AB
2006,Other services (except public administration),90100,Western,AB
2006,"Professional, scientific and technical services",143900,Western,AB
2006,Public administration,83500,Western,AB
2006,Transportation and warehousing,107600,Western,AB
2006,Utilities,17600,Western,AB
2006,Wholesale and retail trade,290900,Western,AB
2007,Accommodation and food services,117800,Western,AB
2007,Agriculture,49800,Western,AB
2007,"Business, building and other support services",74600,Western,AB
2007,Construction,198100,Western,AB
2007,Educational services,131900,Western,AB
2007,"Finance, insurance, real estate, rental and leasing",100900,Western,AB
2007,"Forestry, fishing, mining, quarrying, oil and gas",155900,Western,AB
2007,Health care and social assistance ,190300,Western,AB
2007,"Information, culture and recreation ",76000,Western,AB
2007,Manufacturing,144400,Western,AB
2007,Other services (except public administration),96800,Western,AB
2007,"Professional, scientific and technical services",149200,Western,AB
2007,Public administration,82400,Western,AB
2007,Transportation and warehousing,107600,Western,AB
2007,Utilities,19700,Western,AB
2007,Wholesale and retail trade,295800,Western,AB
2008,Accommodation and food services,120700,Western,AB
2008,Agriculture,59300,Western,AB
2008,"Business, building and other support services",71400,Western,AB
2008,Construction,216500,Western,AB
2008,Educational services,122500,Western,AB
2008,"Finance, insurance, real estate, rental and leasing",113000,Western,AB
2008,"Forestry, fishing, mining, quarrying, oil and gas",152100,Western,AB
2008,Health care and social assistance ,193000,Western,AB
2008,"Information, culture and recreation ",73200,Western,AB
2008,Manufacturing,140300,Western,AB
2008,Other services (except public administration),97600,Western,AB
2008,"Professional, scientific and technical services",161500,Western,AB
2008,Public administration,86500,Western,AB
2008,Transportation and warehousing,108300,Western,AB
2008,Utilities,17500,Western,AB
2008,Wholesale and retail trade,320700,Western,AB
2009,Accommodation and food services,130300,Western,AB
2009,Agriculture,58300,Western,AB
2009,"Business, building and other support services",72800,Western,AB
2009,Construction,202100,Western,AB
2009,Educational services,129800,Western,AB
2009,"Finance, insurance, real estate, rental and leasing",112800,Western,AB
2009,"Forestry, fishing, mining, quarrying, oil and gas",137300,Western,AB
2009,Health care and social assistance ,203400,Western,AB
2009,"Information, culture and recreation ",74800,Western,AB
2009,Manufacturing,123400,Western,AB
2009,Other services (except public administration),104400,Western,AB
2009,"Professional, scientific and technical services",149200,Western,AB
2009,Public administration,87800,Western,AB
2009,Transportation and warehousing,105900,Western,AB
2009,Utilities,19400,Western,AB
2009,Wholesale and retail trade,318100,Western,AB
2010,Accommodation and food services,131800,Western,AB
2010,Agriculture,51400,Western,AB
2010,"Business, building and other support services",72000,Western,AB
2010,Construction,200300,Western,AB
2010,Educational services,128800,Western,AB
2010,"Finance, insurance, real estate, rental and leasing",110200,Western,AB
2010,"Forestry, fishing, mining, quarrying, oil and gas",139100,Western,AB
2010,Health care and social assistance ,215600,Western,AB
2010,"Information, culture and recreation ",75500,Western,AB
2010,Manufacturing,125200,Western,AB
2010,Other services (except public administration),99800,Western,AB
2010,"Professional, scientific and technical services",150400,Western,AB
2010,Public administration,86700,Western,AB
2010,Transportation and warehousing,107700,Western,AB
2010,Utilities,18200,Western,AB
2010,Wholesale and retail trade,311100,Western,AB
2011,Accommodation and food services,141500,Western,AB
2011,Agriculture,55300,Western,AB
2011,"Business, building and other support services",73100,Western,AB
2011,Construction,218000,Western,AB
2011,Educational services,126500,Western,AB
2011,"Finance, insurance, real estate, rental and leasing",98400,Western,AB
2011,"Forestry, fishing, mining, quarrying, oil and gas",150200,Western,AB
2011,Health care and social assistance ,222000,Western,AB
2011,"Information, culture and recreation ",76800,Western,AB
2011,Manufacturing,133700,Western,AB
2011,Other services (except public administration),105800,Western,AB
2011,"Professional, scientific and technical services",162100,Western,AB
2011,Public administration,88000,Western,AB
2011,Transportation and warehousing,110800,Western,AB
2011,Utilities,17100,Western,AB
2011,Wholesale and retail trade,320200,Western,AB
2012,Accommodation and food services,144300,Western,AB
2012,Agriculture,56300,Western,AB
2012,"Business, building and other support services",73100,Western,AB
2012,Construction,236000,Western,AB
2012,Educational services,128200,Western,AB
2012,"Finance, insurance, real estate, rental and leasing",97500,Western,AB
2012,"Forestry, fishing, mining, quarrying, oil and gas",174500,Western,AB
2012,Health care and social assistance ,231200,Western,AB
2012,"Information, culture and recreation ",70400,Western,AB
2012,Manufacturing,137600,Western,AB
2012,Other services (except public administration),108000,Western,AB
2012,"Professional, scientific and technical services",166300,Western,AB
2012,Public administration,90900,Western,AB
2012,Transportation and warehousing,117300,Western,AB
2012,Utilities,18400,Western,AB
2012,Wholesale and retail trade,322400,Western,AB
2013,Accommodation and food services,142700,Western,AB
2013,Agriculture,63400,Western,AB
2013,"Business, building and other support services",78200,Western,AB
2013,Construction,244000,Western,AB
2013,Educational services,124900,Western,AB
2013,"Finance, insurance, real estate, rental and leasing",104200,Western,AB
2013,"Forestry, fishing, mining, quarrying, oil and gas",173300,Western,AB
2013,Health care and social assistance ,233200,Western,AB
2013,"Information, culture and recreation ",74800,Western,AB
2013,Manufacturing,142700,Western,AB
2013,Other services (except public administration),114500,Western,AB
2013,"Professional, scientific and technical services",176100,Western,AB
2013,Public administration,89700,Western,AB
2013,Transportation and warehousing,119800,Western,AB
2013,Utilities,18700,Western,AB
2013,Wholesale and retail trade,326000,Western,AB
2014,Accommodation and food services,150000,Western,AB
2014,Agriculture,60600,Western,AB
2014,"Business, building and other support services",79100,Western,AB
2014,Construction,256400,Western,AB
2014,Educational services,124700,Western,AB
2014,"Finance, insurance, real estate, rental and leasing",104700,Western,AB
2014,"Forestry, fishing, mining, quarrying, oil and gas",178500,Western,AB
2014,Health care and social assistance ,240600,Western,AB
2014,"Information, culture and recreation ",72500,Western,AB
2014,Manufacturing,144500,Western,AB
2014,Other services (except public administration),122100,Western,AB
2014,"Professional, scientific and technical services",184300,Western,AB
2014,Public administration,88100,Western,AB
2014,Transportation and warehousing,129900,Western,AB
2014,Utilities,18300,Western,AB
2014,Wholesale and retail trade,320600,Western,AB
2015,Accommodation and food services,153500,Western,AB
2015,Agriculture,62800,Western,AB
2015,"Business, building and other support services",82300,Western,AB
2015,Construction,259900,Western,AB
2015,Educational services,138000,Western,AB
2015,"Finance, insurance, real estate, rental and leasing",103500,Western,AB
2015,"Forestry, fishing, mining, quarrying, oil and gas",158900,Western,AB
2015,Health care and social assistance ,264100,Western,AB
2015,"Information, culture and recreation ",74900,Western,AB
2015,Manufacturing,139900,Western,AB
