Date,Sector,Value,Of_Total,Yearly_Total,Percentage
1980,Construction,674300,6.14,10984000,6.14%
1981,Construction,707300,6.26,11305100,6.26%
1982,Construction,643800,5.88,10943600,5.88%
1983,Construction,626300,5.68,11021900,5.68%
1984,Construction,607500,5.38,11301800,5.38%
1985,Construction,643400,5.52,11658000,5.52%
1986,Construction,664500,5.53,12008500,5.53%
1987,Construction,726600,5.89,12333100,5.89%
1988,Construction,766500,6.03,12709600,6.03%
1989,Construction,806200,6.2,12996200,6.20%
1990,Construction,815800,6.23,13086400,6.23%
1991,Construction,738900,5.75,12857500,5.75%
1992,Construction,713100,5.6,12730800,5.60%
1993,Construction,691200,5.4,12792700,5.40%
1994,Construction,724600,5.55,13058800,5.55%
1995,Construction,726400,5.46,13295500,5.46%
1996,Construction,711900,5.3,13420100,5.30%
1997,Construction,725800,5.29,13708300,5.29%
1998,Construction,736000,5.24,14047100,5.24%
1999,Construction,763900,5.3,14401900,5.30%
2000,Construction,806900,5.47,14760300,5.47%
2001,Construction,822600,5.51,14932400,5.51%
2002,Construction,863000,5.64,15291200,5.64%
2003,Construction,910600,5.81,15661100,5.81%
2004,Construction,954100,5.99,15915200,5.99%
2005,Construction,1022100,6.34,16123500,6.34%
2006,Construction,1066300,6.5,16395900,6.50%
2007,Construction,1127300,6.72,16769400,6.72%
2008,Construction,1235800,7.27,17010100,7.27%
2009,Construction,1189600,7.11,16727600,7.11%
2010,Construction,1241900,7.32,16964200,7.32%
2011,Construction,1294600,7.52,17220800,7.52%
2012,Construction,1322800,7.59,17437900,7.59%
2013,Construction,1369800,7.74,17691100,7.74%
2014,Construction,1371500,7.7,17802200,7.70%
2015,Construction,1371200,7.64,17946400,7.64%
2016,Construction,1385000,7.66,18080000,7.66%
2017,Construction,1409300,7.65,18416400,7.65%
2018,Construction,1437500,7.7,18657700,7.70%
2019,Construction,1463100,7.68,19055500,7.68%
1976,Educational services,676700,6.94,9747700,6.94%
1977,Educational services,695900,7.02,9917100,7.02%
1978,Educational services,690800,6.76,10220000,6.76%
1979,Educational services,694100,6.51,10668500,6.51%
1980,Educational services,695000,6.33,10984000,6.33%
1981,Educational services,694300,6.14,11305100,6.14%
1982,Educational services,690100,6.31,10943600,6.31%
1983,Educational services,728500,6.61,11021900,6.61%
1984,Educational services,719600,6.37,11301800,6.37%
1985,Educational services,727100,6.24,11658000,6.24%
1986,Educational services,754200,6.28,12008500,6.28%
1987,Educational services,776600,6.3,12333100,6.30%
1988,Educational services,817300,6.43,12709600,6.43%
1989,Educational services,830200,6.39,12996200,6.39%
1990,Educational services,843200,6.44,13086400,6.44%
1991,Educational services,859000,6.68,12857500,6.68%
1992,Educational services,886500,6.96,12730800,6.96%
1993,Educational services,905500,7.08,12792700,7.08%
1994,Educational services,927200,7.1,13058800,7.10%
1995,Educational services,928300,6.98,13295500,6.98%
1996,Educational services,912800,6.8,13420100,6.80%
1997,Educational services,913700,6.67,13708300,6.67%
1998,Educational services,930500,6.62,14047100,6.62%
1999,Educational services,971400,6.74,14401900,6.74%
2000,Educational services,970100,6.57,14760300,6.57%
2001,Educational services,974200,6.52,14932400,6.52%
2002,Educational services,1001100,6.55,15291200,6.55%
2003,Educational services,1025800,6.55,15661100,6.55%
2004,Educational services,1034000,6.5,15915200,6.50%
2005,Educational services,1102400,6.84,16123500,6.84%
2006,Educational services,1155200,7.05,16395900,7.05%
2007,Educational services,1173800,7,16769400,7.00%
2008,Educational services,1163500,6.84,17010100,6.84%
2009,Educational services,1151200,6.88,16727600,6.88%
2010,Educational services,1166300,6.88,16964200,6.88%
2011,Educational services,1170200,6.8,17220800,6.80%
2012,Educational services,1209600,6.94,17437900,6.94%
2013,Educational services,1226500,6.93,17691100,6.93%
2014,Educational services,1236900,6.95,17802200,6.95%
2015,Educational services,1274100,7.1,17946400,7.10%
2016,Educational services,1270000,7.02,18080000,7.02%
2017,Educational services,1285000,6.98,18416400,6.98%
2018,Educational services,1325400,7.1,18657700,7.10%
2019,Educational services,1370400,7.19,19055500,7.19%
1976,"Finance, insurance, real estate, rental and leasing",526000,5.4,9747700,5.40%
1977,"Finance, insurance, real estate, rental and leasing",574700,5.8,9917100,5.80%
1978,"Finance, insurance, real estate, rental and leasing",604400,5.91,10220000,5.91%
1979,"Finance, insurance, real estate, rental and leasing",620900,5.82,10668500,5.82%
1980,"Finance, insurance, real estate, rental and leasing",660000,6.01,10984000,6.01%
1981,"Finance, insurance, real estate, rental and leasing",674000,5.96,11305100,5.96%
1982,"Finance, insurance, real estate, rental and leasing",680700,6.22,10943600,6.22%
1983,"Finance, insurance, real estate, rental and leasing",678700,6.16,11021900,6.16%
1984,"Finance, insurance, real estate, rental and leasing",719100,6.36,11301800,6.36%
1985,"Finance, insurance, real estate, rental and leasing",706000,6.06,11658000,6.06%
1986,"Finance, insurance, real estate, rental and leasing",723500,6.02,12008500,6.02%
1987,"Finance, insurance, real estate, rental and leasing",765800,6.21,12333100,6.21%
1988,"Finance, insurance, real estate, rental and leasing",795700,6.26,12709600,6.26%
1989,"Finance, insurance, real estate, rental and leasing",824300,6.34,12996200,6.34%
1990,"Finance, insurance, real estate, rental and leasing",855800,6.54,13086400,6.54%
1991,"Finance, insurance, real estate, rental and leasing",853900,6.64,12857500,6.64%
1992,"Finance, insurance, real estate, rental and leasing",840500,6.6,12730800,6.60%
1993,"Finance, insurance, real estate, rental and leasing",839800,6.56,12792700,6.56%
1994,"Finance, insurance, real estate, rental and leasing",832700,6.38,13058800,6.38%
1995,"Finance, insurance, real estate, rental and leasing",846100,6.36,13295500,6.36%
1996,"Finance, insurance, real estate, rental and leasing",861100,6.42,13420100,6.42%
1997,"Finance, insurance, real estate, rental and leasing",865600,6.31,13708300,6.31%
1998,"Finance, insurance, real estate, rental and leasing",847000,6.03,14047100,6.03%
1999,"Finance, insurance, real estate, rental and leasing",858800,5.96,14401900,5.96%
2000,"Finance, insurance, real estate, rental and leasing",858200,5.81,14760300,5.81%
2001,"Finance, insurance, real estate, rental and leasing",876300,5.87,14932400,5.87%
2002,"Finance, insurance, real estate, rental and leasing",896300,5.86,15291200,5.86%
2003,"Finance, insurance, real estate, rental and leasing",913600,5.83,15661100,5.83%
2004,"Finance, insurance, real estate, rental and leasing",951500,5.98,15915200,5.98%
2005,"Finance, insurance, real estate, rental and leasing",983600,6.1,16123500,6.10%
2006,"Finance, insurance, real estate, rental and leasing",1028900,6.28,16395900,6.28%
2007,"Finance, insurance, real estate, rental and leasing",1046300,6.24,16769400,6.24%
2008,"Finance, insurance, real estate, rental and leasing",1060800,6.24,17010100,6.24%
2009,"Finance, insurance, real estate, rental and leasing",1067100,6.38,16727600,6.38%
2010,"Finance, insurance, real estate, rental and leasing",1073900,6.33,16964200,6.33%
2011,"Finance, insurance, real estate, rental and leasing",1076000,6.25,17220800,6.25%
2012,"Finance, insurance, real estate, rental and leasing",1061700,6.09,17437900,6.09%
2013,"Finance, insurance, real estate, rental and leasing",1078800,6.1,17691100,6.10%
2014,"Finance, insurance, real estate, rental and leasing",1083800,6.09,17802200,6.09%
2015,"Finance, insurance, real estate, rental and leasing",1102900,6.15,17946400,6.15%
2016,"Finance, insurance, real estate, rental and leasing",1127000,6.23,18080000,6.23%
2017,"Finance, insurance, real estate, rental and leasing",1171300,6.36,18416400,6.36%
2018,"Finance, insurance, real estate, rental and leasing",1173900,6.29,18657700,6.29%
2019,"Finance, insurance, real estate, rental and leasing",1208400,6.34,19055500,6.34%
1976,"Forestry, fishing, mining, quarrying, oil and gas",254800,2.61,9747700,2.61%
1977,"Forestry, fishing, mining, quarrying, oil and gas",261500,2.64,9917100,2.64%
1978,"Forestry, fishing, mining, quarrying, oil and gas",276500,2.71,10220000,2.71%
1979,"Forestry, fishing, mining, quarrying, oil and gas",293500,2.75,10668500,2.75%
1980,"Forestry, fishing, mining, quarrying, oil and gas",330500,3.01,10984000,3.01%
1981,"Forestry, fishing, mining, quarrying, oil and gas",349400,3.09,11305100,3.09%
1982,"Forestry, fishing, mining, quarrying, oil and gas",296900,2.71,10943600,2.71%
1983,"Forestry, fishing, mining, quarrying, oil and gas",293600,2.66,11021900,2.66%
1984,"Forestry, fishing, mining, quarrying, oil and gas",314200,2.78,11301800,2.78%
1985,"Forestry, fishing, mining, quarrying, oil and gas",308700,2.65,11658000,2.65%
1986,"Forestry, fishing, mining, quarrying, oil and gas",293500,2.44,12008500,2.44%
1987,"Forestry, fishing, mining, quarrying, oil and gas",287100,2.33,12333100,2.33%
1988,"Forestry, fishing, mining, quarrying, oil and gas",305900,2.41,12709600,2.41%
1989,"Forestry, fishing, mining, quarrying, oil and gas",307900,2.37,12996200,2.37%
1990,"Forestry, fishing, mining, quarrying, oil and gas",303600,2.32,13086400,2.32%
1991,"Forestry, fishing, mining, quarrying, oil and gas",298100,2.32,12857500,2.32%
1992,"Forestry, fishing, mining, quarrying, oil and gas",280100,2.2,12730800,2.20%
1993,"Forestry, fishing, mining, quarrying, oil and gas",271800,2.12,12792700,2.12%
1994,"Forestry, fishing, mining, quarrying, oil and gas",285600,2.19,13058800,2.19%
1995,"Forestry, fishing, mining, quarrying, oil and gas",294800,2.22,13295500,2.22%
1996,"Forestry, fishing, mining, quarrying, oil and gas",292700,2.18,13420100,2.18%
1997,"Forestry, fishing, mining, quarrying, oil and gas",298000,2.17,13708300,2.17%
1998,"Forestry, fishing, mining, quarrying, oil and gas",293700,2.09,14047100,2.09%
1999,"Forestry, fishing, mining, quarrying, oil and gas",263100,1.83,14401900,1.83%
2000,"Forestry, fishing, mining, quarrying, oil and gas",273300,1.85,14760300,1.85%
2001,"Forestry, fishing, mining, quarrying, oil and gas",276400,1.85,14932400,1.85%
2002,"Forestry, fishing, mining, quarrying, oil and gas",269100,1.76,15291200,1.76%
2003,"Forestry, fishing, mining, quarrying, oil and gas",279200,1.78,15661100,1.78%
2004,"Forestry, fishing, mining, quarrying, oil and gas",284900,1.79,15915200,1.79%
2005,"Forestry, fishing, mining, quarrying, oil and gas",309500,1.92,16123500,1.92%
2006,"Forestry, fishing, mining, quarrying, oil and gas",334500,2.04,16395900,2.04%
2007,"Forestry, fishing, mining, quarrying, oil and gas",342400,2.04,16769400,2.04%
2008,"Forestry, fishing, mining, quarrying, oil and gas",341100,2.01,17010100,2.01%
2009,"Forestry, fishing, mining, quarrying, oil and gas",314400,1.88,16727600,1.88%
2010,"Forestry, fishing, mining, quarrying, oil and gas",324500,1.91,16964200,1.91%
2011,"Forestry, fishing, mining, quarrying, oil and gas",339900,1.97,17220800,1.97%
2012,"Forestry, fishing, mining, quarrying, oil and gas",365500,2.1,17437900,2.10%
2013,"Forestry, fishing, mining, quarrying, oil and gas",368100,2.08,17691100,2.08%
2014,"Forestry, fishing, mining, quarrying, oil and gas",372600,2.09,17802200,2.09%
2015,"Forestry, fishing, mining, quarrying, oil and gas",354900,1.98,17946400,1.98%
2016,"Forestry, fishing, mining, quarrying, oil and gas",326800,1.81,18080000,1.81%
2017,"Forestry, fishing, mining, quarrying, oil and gas",329600,1.79,18416400,1.79%
2018,"Forestry, fishing, mining, quarrying, oil and gas",340600,1.83,18657700,1.83%
2019,"Forestry, fishing, mining, quarrying, oil and gas",332500,1.74,19055500,1.74%
1976,Health care and social assistance ,793600,8.14,9747700,8.14%
1977,Health care and social assistance ,811300,8.18,9917100,8.18%
1978,Health care and social assistance ,831700,8.14,10220000,8.14%
1979,Health care and social assistance ,866800,8.12,10668500,8.12%
1980,Health care and social assistance ,909700,8.28,10984000,8.28%
1981,Health care and social assistance ,948900,8.39,11305100,8.39%
1982,Health care and social assistance ,969500,8.86,10943600,8.86%
1983,Health care and social assistance ,1000900,9.08,11021900,9.08%
1984,Health care and social assistance ,1024600,9.07,11301800,9.07%
1985,Health care and social assistance ,1073100,9.2,11658000,9.20%
1986,Health care and social assistance ,1101900,9.18,12008500,9.18%
1987,Health care and social assistance ,1152000,9.34,12333100,9.34%
1988,Health care and social assistance ,1188800,9.35,12709600,9.35%
1989,Health care and social assistance ,1230400,9.47,12996200,9.47%
1990,Health care and social assistance ,1284300,9.81,13086400,9.81%
1991,Health care and social assistance ,1310000,10.19,12857500,10.19%
1992,Health care and social assistance ,1326900,10.42,12730800,10.42%
1993,Health care and social assistance ,1348500,10.54,12792700,10.54%
1994,Health care and social assistance ,1364200,10.45,13058800,10.45%
1995,Health care and social assistance ,1388600,10.44,13295500,10.44%
1996,Health care and social assistance ,1392800,10.38,13420100,10.38%
1997,Health care and social assistance ,1384600,10.1,13708300,10.10%
1998,Health care and social assistance ,1425200,10.15,14047100,10.15%
1999,Health care and social assistance ,1436900,9.98,14401900,9.98%
2000,Health care and social assistance ,1516900,10.28,14760300,10.28%
2001,Health care and social assistance ,1545500,10.35,14932400,10.35%
2002,Health care and social assistance ,1614000,10.56,15291200,10.56%
2003,Health care and social assistance ,1677900,10.71,15661100,10.71%
2004,Health care and social assistance ,1723200,10.83,15915200,10.83%
2005,Health care and social assistance ,1723400,10.69,16123500,10.69%
2006,Health care and social assistance ,1776000,10.83,16395900,10.83%
2007,Health care and social assistance ,1838500,10.96,16769400,10.96%
2008,Health care and social assistance ,1890100,11.11,17010100,11.11%
2009,Health care and social assistance ,1961600,11.73,16727600,11.73%
2010,Health care and social assistance ,2041600,12.03,16964200,12.03%
2011,Health care and social assistance ,2084100,12.1,17220800,12.10%
2012,Health care and social assistance ,2141000,12.28,17437900,12.28%
2013,Health care and social assistance ,2189900,12.38,17691100,12.38%
2014,Health care and social assistance ,2219700,12.47,17802200,12.47%
2015,Health care and social assistance ,2292300,12.77,17946400,12.77%
2016,Health care and social assistance ,2339300,12.94,18080000,12.94%
2017,Health care and social assistance ,2383200,12.94,18416400,12.94%
2018,Health care and social assistance ,2406700,12.9,18657700,12.90%
2019,Health care and social assistance ,2489700,13.07,19055500,13.07%
1976,"Information, culture and recreation ",346700,3.56,9747700,3.56%
1977,"Information, culture and recreation ",359800,3.63,9917100,3.63%
1978,"Information, culture and recreation ",378000,3.7,10220000,3.70%
1979,"Information, culture and recreation ",396300,3.71,10668500,3.71%
1980,"Information, culture and recreation ",403400,3.67,10984000,3.67%
1981,"Information, culture and recreation ",427200,3.78,11305100,3.78%
1982,"Information, culture and recreation ",440400,4.02,10943600,4.02%
1983,"Information, culture and recreation ",451300,4.09,11021900,4.09%
1984,"Information, culture and recreation ",438300,3.88,11301800,3.88%
1985,"Information, culture and recreation ",434600,3.73,11658000,3.73%
1986,"Information, culture and recreation ",463300,3.86,12008500,3.86%
1987,"Information, culture and recreation ",511100,4.14,12333100,4.14%
1988,"Information, culture and recreation ",507800,4,12709600,4.00%
1989,"Information, culture and recreation ",528600,4.07,12996200,4.07%
1990,"Information, culture and recreation ",515500,3.94,13086400,3.94%
1991,"Information, culture and recreation ",499100,3.88,12857500,3.88%
1992,"Information, culture and recreation ",492900,3.87,12730800,3.87%
1993,"Information, culture and recreation ",503200,3.93,12792700,3.93%
1994,"Information, culture and recreation ",537400,4.12,13058800,4.12%
1995,"Information, culture and recreation ",567700,4.27,13295500,4.27%
1996,"Information, culture and recreation ",578200,4.31,13420100,4.31%
1997,"Information, culture and recreation ",602100,4.39,13708300,4.39%
1998,"Information, culture and recreation ",613600,4.37,14047100,4.37%
1999,"Information, culture and recreation ",629200,4.37,14401900,4.37%
2000,"Information, culture and recreation ",667600,4.52,14760300,4.52%
2001,"Information, culture and recreation ",710000,4.75,14932400,4.75%
2002,"Information, culture and recreation ",712600,4.66,15291200,4.66%
2003,"Information, culture and recreation ",716000,4.57,15661100,4.57%
2004,"Information, culture and recreation ",733100,4.61,15915200,4.61%
2005,"Information, culture and recreation ",728000,4.52,16123500,4.52%
2006,"Information, culture and recreation ",737400,4.5,16395900,4.50%
2007,"Information, culture and recreation ",774800,4.62,16769400,4.62%
2008,"Information, culture and recreation ",749600,4.41,17010100,4.41%
2009,"Information, culture and recreation ",747300,4.47,16727600,4.47%
2010,"Information, culture and recreation ",762800,4.5,16964200,4.50%
2011,"Information, culture and recreation ",771900,4.48,17220800,4.48%
2012,"Information, culture and recreation ",759100,4.35,17437900,4.35%
2013,"Information, culture and recreation ",756700,4.28,17691100,4.28%
2014,"Information, culture and recreation ",757200,4.25,17802200,4.25%
2015,"Information, culture and recreation ",750600,4.18,17946400,4.18%
2016,"Information, culture and recreation ",782400,4.33,18080000,4.33%
2017,"Information, culture and recreation ",789300,4.29,18416400,4.29%
2018,"Information, culture and recreation ",786900,4.22,18657700,4.22%
2019,"Information, culture and recreation ",774000,4.06,19055500,4.06%
1976,Manufacturing,1861000,19.09,9747700,19.09%
1977,Manufacturing,1849400,18.65,9917100,18.65%
1978,Manufacturing,1914400,18.73,10220000,18.73%
1979,Manufacturing,2035100,19.08,10668500,19.08%
1980,Manufacturing,2080100,18.94,10984000,18.94%
1981,Manufacturing,2080000,18.4,11305100,18.40%
1982,Manufacturing,1872500,17.11,10943600,17.11%
1983,Manufacturing,1842800,16.72,11021900,16.72%
1984,Manufacturing,1920000,16.99,11301800,16.99%
1985,Manufacturing,1964100,16.85,11658000,16.85%
1986,Manufacturing,2033700,16.94,12008500,16.94%
1987,Manufacturing,2041000,16.55,12333100,16.55%
1988,Manufacturing,2100300,16.53,12709600,16.53%
1989,Manufacturing,2129700,16.39,12996200,16.39%
1990,Manufacturing,2050100,15.67,13086400,15.67%
1991,Manufacturing,1890200,14.7,12857500,14.70%
1992,Manufacturing,1814500,14.25,12730800,14.25%
1993,Manufacturing,1779200,13.91,12792700,13.91%
1994,Manufacturing,1823200,13.96,13058800,13.96%
1995,Manufacturing,1903800,14.32,13295500,14.32%
1996,Manufacturing,1924500,14.34,13420100,14.34%
1997,Manufacturing,2021200,14.74,13708300,14.74%
1998,Manufacturing,2103300,14.97,14047100,14.97%
1999,Manufacturing,2188200,15.19,14401900,15.19%
2000,Manufacturing,2242300,15.19,14760300,15.19%
2001,Manufacturing,2222000,14.88,14932400,14.88%
2002,Manufacturing,2288900,14.97,15291200,14.97%
2003,Manufacturing,2277400,14.54,15661100,14.54%
2004,Manufacturing,2297200,14.43,15915200,14.43%
2005,Manufacturing,2203400,13.67,16123500,13.67%
2006,Manufacturing,2102200,12.82,16395900,12.82%
2007,Manufacturing,2026000,12.08,16769400,12.08%
2008,Manufacturing,1927200,11.33,17010100,11.33%
2009,Manufacturing,1745100,10.43,16727600,10.43%
2010,Manufacturing,1710700,10.08,16964200,10.08%
2011,Manufacturing,1721800,10,17220800,10.00%
2012,Manufacturing,1746500,10.02,17437900,10.02%
2013,Manufacturing,1723100,9.74,17691100,9.74%
2014,Manufacturing,1711000,9.61,17802200,9.61%
2015,Manufacturing,1712400,9.54,17946400,9.54%
2016,Manufacturing,1694800,9.37,18080000,9.37%
2017,Manufacturing,1724800,9.37,18416400,9.37%
2018,Manufacturing,1728400,9.26,18657700,9.26%
2019,Manufacturing,1733100,9.1,19055500,9.10%
1976,Other services (except public administration),426900,4.38,9747700,4.38%
1977,Other services (except public administration),426500,4.3,9917100,4.30%
1978,Other services (except public administration),450700,4.41,10220000,4.41%
1979,Other services (except public administration),466000,4.37,10668500,4.37%
1980,Other services (except public administration),488400,4.45,10984000,4.45%
1981,Other services (except public administration),525900,4.65,11305100,4.65%
1982,Other services (except public administration),520900,4.76,10943600,4.76%
1983,Other services (except public administration),544300,4.94,11021900,4.94%
1984,Other services (except public administration),559900,4.95,11301800,4.95%
1985,Other services (except public administration),579500,4.97,11658000,4.97%
1986,Other services (except public administration),603900,5.03,12008500,5.03%
1987,Other services (except public administration),633100,5.13,12333100,5.13%
1988,Other services (except public administration),607200,4.78,12709600,4.78%
1989,Other services (except public administration),613500,4.72,12996200,4.72%
1990,Other services (except public administration),608100,4.65,13086400,4.65%
1991,Other services (except public administration),595600,4.63,12857500,4.63%
1992,Other services (except public administration),598000,4.7,12730800,4.70%
1993,Other services (except public administration),632500,4.94,12792700,4.94%
1994,Other services (except public administration),651900,4.99,13058800,4.99%
1995,Other services (except public administration),647200,4.87,13295500,4.87%
1996,Other services (except public administration),652900,4.87,13420100,4.87%
1997,Other services (except public administration),674700,4.92,13708300,4.92%
1998,Other services (except public administration),701200,4.99,14047100,4.99%
1999,Other services (except public administration),712300,4.95,14401900,4.95%
2000,Other services (except public administration),682700,4.63,14760300,4.63%
2001,Other services (except public administration),664500,4.45,14932400,4.45%
